Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ORF )	Gene names  (primary )	Gene names  (ordered locus )	Gene names  (synonym )
P32657	CHD1_YEAST	reviewed	Chromo domain-containing protein 1 (EC 3.6.4.-) (ATP-dependent helicase CHD1)	CHD1 YER164W SYGP-ORF4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1468	SYGP-ORF4	CHD1	YER164W	
P25335	ALLC_YEAST	reviewed	Allantoicase (EC 3.5.3.4) (Allantoate amidinohydrolase)	DAL2 ALC1 YIR029W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	343		DAL2	YIR029W	ALC1
P22936	APN1_YEAST	reviewed	Apurinic-apyrimidinic endonuclease 1 (AP endonuclease 1) (EC 3.1.21.-)	APN1 YKL114C YKL513	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	367	YKL513	APN1	YKL114C	
P32451	BIOB_YEAST	reviewed	Biotin synthase, mitochondrial (EC 2.8.1.6)	BIO2 YGR286C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	375		BIO2	YGR286C	
P32873	BEM3_YEAST	reviewed	GTPase-activating protein BEM3 (Bud emergence protein 3)	BEM3 YPL115C LPH12C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1128	LPH12C	BEM3	YPL115C	
Q08235	BRX1_YEAST	reviewed	Ribosome biogenesis protein BRX1	BRX1 YOL077C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	291		BRX1	YOL077C	
P53894	CBK1_YEAST	reviewed	Serine/threonine-protein kinase CBK1 (EC 2.7.11.1) (Cell wall biosynthesis kinase)	CBK1 YNL161W N1727	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	756	N1727	CBK1	YNL161W	
P47158	CAF17_YEAST	reviewed	Putative transferase CAF17, mitochondrial (EC 2.1.-.-) (57 kDa iron-sulfur cluster assembly factor for biotin synthase- and aconitase-like mitochondrial proteins) (CCR4-associated factor 17)	IBA57 CAF17 YJR122W J2043	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	497	J2043	IBA57	YJR122W	CAF17
P39101	CAJ1_YEAST	reviewed	Protein CAJ1	CAJ1 YER048C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	391		CAJ1	YER048C	
P38221	CDS1_YEAST	reviewed	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CDP-DG synthase) (CTP:phosphatidate cytidylyltransferase)	CDS1 CDG1 YBR029C YBR0313	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457	YBR0313	CDS1	YBR029C	CDG1
P53298	CENPQ_YEAST	reviewed	Inner kinetochore subunit OKP1 (CENP-Q homolog) (Constitutive centromere-associated network protein OKP1) (Outer kinetochore protein 1)	OKP1 YGR179C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	406		OKP1	YGR179C	
P38907	CENPN_YEAST	reviewed	Inner kinetochore subunit CHL4 (CENP-N homolog) (Chromosome loss protein 4) (Chromosome transmission fidelity protein 17) (Constitutive centromere-associated network protein CHL4) (Minichromosome maintenance protein 17)	CHL4 CTF17 MCM17 YDR254W YD9320A.04	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	458	YD9320A.04	CHL4	YDR254W	CTF17 MCM17
P30283	CGS5_YEAST	reviewed	S-phase entry cyclin-5	CLB5 YPR120C P9642.8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	435	P9642.8	CLB5	YPR120C	
P40987	CIN1_YEAST	reviewed	Chromosome instability protein 1	CIN1 YOR349W O6350	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1014	O6350	CIN1	YOR349W	
P46680	AIP1_YEAST	reviewed	Actin-interacting protein 1	AIP1 YMR092C YM9582.17C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	615	YM9582.17C	AIP1	YMR092C	
P38360	ATU1_YEAST	reviewed	P-type cation-transporting ATPase (EC 7.2.2.21) (Cadmium resistance protein 2) (Cadmium-translocating P-type ATPase) (Cd(2+)-exporting ATPase)	PCA1 CAD2 PAY2 YBR295W YBR2112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1216	YBR2112	PCA1	YBR295W	CAD2 PAY2
P85052	BUD25_YEAST	reviewed	Bud site selection protein 25	BUD25 YER014C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153		BUD25	YER014C-A	
Q06631	BFR2_YEAST	reviewed	Protein BFR2 (Brefeldin A resistance protein 2)	BFR2 YDR299W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534		BFR2	YDR299W	
P53858	BNI4_YEAST	reviewed	Protein BNI4	BNI4 YNL233W N1146	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	892	N1146	BNI4	YNL233W	
Q06333	BL1S4_YEAST	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit CNL1 (BLOC-1 subunit CNL1) (CNO-like protein 1)	CNL1 YDR357C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	122		CNL1	YDR357C	
P34730	BMH2_YEAST	reviewed	Protein BMH2	BMH2 YDR099W YD8557.08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	273	YD8557.08	BMH2	YDR099W	
P53630	BIOD_YEAST	reviewed	Dethiobiotin synthetase (DTB synthetase) (EC 6.3.3.3) (Dethiobiotin synthase) (DTBS)	BIO4 YNR057C N3506	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	237	N3506	BIO4	YNR057C	
P09119	CDC6_YEAST	reviewed	Cell division control protein 6	CDC6 YJL194W J0347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	513	J0347	CDC6	YJL194W	
Q06697	CDC73_YEAST	reviewed	Cell division control protein 73 (RNA polymerase-associated protein CDC73)	CDC73 YLR418C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393		CDC73	YLR418C	
Q00684	CDC14_YEAST	reviewed	Tyrosine-protein phosphatase CDC14 (EC 3.1.3.48)	CDC14 OAF3 YFR028C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	551		CDC14	YFR028C	OAF3
P39110	CIN4_YEAST	reviewed	GTP-binding protein CIN4 (Chromosome instability protein 4)	CIN4 GTP1 UGX1 YMR138W YM9375.07	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	191	YM9375.07	CIN4	YMR138W	GTP1 UGX1
P40433	6P21_YEAST	reviewed	6-phosphofructo-2-kinase 1 (6PF-2-K 1) (EC 2.7.1.105) (Phosphofructokinase 2 I)	PFK26 YIL107C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	827		PFK26	YIL107C	
P32375	ALN_YEAST	reviewed	Allantoinase (EC 3.5.2.5)	DAL1 YIR027C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	460		DAL1	YIR027C	
P53930	AF9_YEAST	reviewed	Protein AF-9 homolog	YAF9 YNL107W N1966	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	226	N1966	YAF9	YNL107W	
P00812	ARGI_YEAST	reviewed	Arginase (EC 3.5.3.1)	CAR1 YPL111W LPH15W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	333	LPH15W	CAR1	YPL111W	
P00856	ATP8_YEAST	reviewed	ATP synthase protein 8 (A6L) (ATP-associated protein 1) (F-ATPase subunit 8)	ATP8 AAP1 Q0080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	48		ATP8	Q0080	AAP1
Q03153	ATP25_YEAST	reviewed	ATPase synthesis protein 25, mitochondrial (OLI1 mRNA stabilization factor)	ATP25 YMR098C YM6543.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	612	YM6543.05C	ATP25	YMR098C	
P09440	C1TM_YEAST	reviewed	C-1-tetrahydrofolate synthase, mitochondrial (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	MIS1 YBR084W YBR0751	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	975	YBR0751	MIS1	YBR084W	
P11709	BIK1_YEAST	reviewed	Nuclear fusion protein BIK1	BIK1 YCL029C YCL29C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440	YCL29C	BIK1	YCL029C	
Q07457	BRE1_YEAST	reviewed	E3 ubiquitin-protein ligase BRE1 (EC 2.3.2.27) (Brefeldin A-sensitivity protein 1) (RING-type E3 ubiquitin transferase BRE1)	BRE1 YDL074C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	700		BRE1	YDL074C	
Q06675	CENPO_YEAST	reviewed	Inner kinetochore subunit MCM21 (CENP-O homolog) (Chromosome transmission fidelity protein 5) (Constitutive centromere-associated network protein MCM21) (Minichromosome maintenance protein 21)	MCM21 CTF5 YDR318W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	368		MCM21	YDR318W	CTF5
P38265	CENPL_YEAST	reviewed	Inner kinetochore subunit IML3 (CENP-L homolog) (Constitutive centromere-associated network protein IML3) (Increased minichromosome loss protein 3) (Minichromosome maintenance protein 19)	IML3 MCM19 YBR107C YBR0836	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	245	YBR0836	IML3	YBR107C	MCM19
Q06703	CDA2_YEAST	reviewed	Chitin deacetylase 2 (EC 3.5.1.41)	CDA2 YLR308W L2142.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312	L2142.1	CDA2	YLR308W	
Q01649	CIK1_YEAST	reviewed	Spindle pole body-associated protein CIK1 (Chromosome instability and karyogamy protein 1)	CIK1 YMR198W YM9646.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	594	YM9646.11	CIK1	YMR198W	
Q08887	NDD1_YEAST	reviewed	Nuclear division defective protein 1	NDD1 YOR372C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	554		NDD1	YOR372C	
P40530	PDK1_YEAST	reviewed	[Pyruvate dehydrogenase (acetyl-transferring)] kinase 1, mitochondrial (PDK 1) (Pyruvate dehydrogenase kinase 1) (EC 2.7.11.2) (Protein kinase of PDH protein 1) (Pyruvate dehydrogenase complex kinase 1) (PDC kinase 1) ([Pyruvate dehydrogenase [lipoamide]] kinase 1)	PKP1 YIL042C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	394		PKP1	YIL042C	
P06776	PDE2_YEAST	reviewed	3',5'-cyclic-nucleotide phosphodiesterase 2 (PDEase 2) (EC 3.1.4.53) (High-affinity cAMP phosphodiesterase)	PDE2 SRA5 YOR360C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	526		PDE2	YOR360C	SRA5
P33751	PAD1_YEAST	reviewed	Flavin prenyltransferase PAD1, mitochondrial (EC 2.5.1.129) (Phenylacrylic acid decarboxylase 1) (PAD)	PAD1 POF1 YDR538W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	242		PAD1	YDR538W	POF1
P32521	PAN1_YEAST	reviewed	Actin cytoskeleton-regulatory complex protein PAN1 (Mitochondrial distribution of proteins protein 3)	PAN1 DIM2 MDP3 MIP3 YIR006C YIB6C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1480	YIB6C	PAN1	YIR006C	DIM2 MDP3 MIP3
P46971	PMT4_YEAST	reviewed	Dolichyl-phosphate-mannose--protein mannosyltransferase 4 (EC 2.4.1.109)	PMT4 YJR143C J2176	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	762	J2176	PMT4	YJR143C	
P10363	PRI1_YEAST	reviewed	DNA primase small subunit (EC 2.7.7.-) (DNA polymerase alpha:primase complex p48 subunit) (DNA polymerase-primase complex p48 subunit) (Pol alpha-primase complex p48 subunit) (DNA primase 48 kDa subunit)	PRI1 YIR008C YIB8C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	409	YIB8C	PRI1	YIR008C	
P00950	PMG1_YEAST	reviewed	Phosphoglycerate mutase 1 (PGAM 1) (EC 5.4.2.11) (BPG-dependent PGAM 1) (MPGM 1) (Phosphoglyceromutase 1)	GPM1 GPM YKL152C YKL607	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	247	YKL607	GPM1	YKL152C	GPM
P05375	PLMT_YEAST	reviewed	Phosphatidyl-N-methylethanolamine N-methyltransferase (EC 2.1.1.17) (EC 2.1.1.71) (Overproducer of inositol protein 3) (Phospholipid methyltransferase) (PLMT)	OPI3 PEM2 YJR073C J1824	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206	J1824	OPI3	YJR073C	PEM2
P32523	PRP19_YEAST	reviewed	Pre-mRNA-processing factor 19 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase PRP19)	PRP19 PSO4 YLL036C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	503		PRP19	YLL036C	PSO4
P05737	RL7A_YEAST	reviewed	60S ribosomal protein L7-A (L6) (Large ribosomal subunit protein uL30-A) (RP11) (YL8)	RPL7A RPL6A RPL8A YL8A YGL076C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244		RPL7A	YGL076C	RPL6A RPL8A YL8A
Q02685	RMI1_YEAST	reviewed	RecQ-mediated genome instability protein 1	RMI1 NCE4 YPL024W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	241		RMI1	YPL024W	NCE4
P36534	RM40_YEAST	reviewed	54S ribosomal protein L40, mitochondrial (Mitochondrial large ribosomal subunit protein uL24m) (YmL40)	MRPL40 YPL173W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	297		MRPL40	YPL173W	
P53724	RM50_YEAST	reviewed	54S ribosomal protein L50, mitochondrial (Mitochondrial large ribosomal subunit protein bL9m)	MRPL50 YNR022C N3220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	139	N3220	MRPL50	YNR022C	
P38330	RMD9L_YEAST	reviewed	Protein RMD9-like, mitochondrial	YBR238C YBR1608	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	731	YBR1608		YBR238C	
P32565	RPN2_YEAST	reviewed	26S proteasome regulatory subunit RPN2	RPN2 SEN3 YIL075C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	945		RPN2	YIL075C	SEN3
Q03465	RPN4_YEAST	reviewed	Protein RPN4 (Nuclear protein SON1) (Ubiquitin fusion degradation protein 5)	RPN4 SON1 UFD5 YDL020C D2840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	531	D2840	RPN4	YDL020C	SON1 UFD5
P20436	RPAB3_YEAST	reviewed	DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)	RPB8 YOR224C YOR50-14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146	YOR50-14	RPB8	YOR224C	
P23250	RPI1_YEAST	reviewed	Negative RAS protein regulator protein	RPI1 YIL119C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	407		RPI1	YIL119C	
P53118	ROG1_YEAST	reviewed	Putative lipase ROG1 (EC 3.1.-.-) (Revertant of glycogen synthase kinase mutation protein 1)	ROG1 YGL144C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	685		ROG1	YGL144C	
Q03124	RSC9_YEAST	reviewed	Chromatin structure-remodeling complex subunit RSC9 (RSC complex subunit RSC9) (Remodel the structure of chromatin complex subunit 9)	RSC9 YML127W YM4987.08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	581	YM4987.08	RSC9	YML127W	
Q02206	RSC4_YEAST	reviewed	Chromatin structure-remodeling complex subunit RSC4 (RSC complex subunit RSC4) (Remodel the structure of chromatin complex subunit 4)	RSC4 YKR008W YK107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	625	YK107	RSC4	YKR008W	
Q05942	RSA3_YEAST	reviewed	Ribosome assembly protein 3	RSA3 YLR221C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	220		RSA3	YLR221C	
P13856	RSR1_YEAST	reviewed	Ras-related protein RSR1	RSR1 BUD1 YGR152C G6658	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	272	G6658	RSR1	YGR152C	BUD1
P40161	RT106_YEAST	reviewed	Histone chaperone RTT106 (Regulator of Ty1 transposition protein 106)	RTT106 YNL206C N1346	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	455	N1346	RTT106	YNL206C	
P42847	RT18_YEAST	reviewed	37S ribosomal protein S18, mitochondrial (Mitochondrial small ribosomal subunit protein uS11m) (YmS18)	MRPS18 YNL306W N0397	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	217	N0397	MRPS18	YNL306W	
Q02608	RT16_YEAST	reviewed	37S ribosomal protein S16, mitochondrial (Mitochondrial small ribosomal subunit protein bS16m)	MRPS16 YPL013C LPA4C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	121	LPA4C	MRPS16	YPL013C	
P06105	SC160_YEAST	reviewed	Protein SCP160 (Protein HX)	SCP160 HX YJL080C J1017	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1222	J1017	SCP160	YJL080C	HX
P39940	RSP5_YEAST	reviewed	E3 ubiquitin-protein ligase RSP5 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase RSP5) (Reverses SPT-phenotype protein 5)	RSP5 MDP1 NPI1 YER125W SYGP-ORF41	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	809	SYGP-ORF41	RSP5	YER125W	MDP1 NPI1
P38810	SFB3_YEAST	reviewed	SED5-binding protein 3 (Lethal with SEC13 protein 1) (SEC24-related protein 3)	SFB3 LST1 YHR098C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	929		SFB3	YHR098C	LST1
P38166	SFT2_YEAST	reviewed	Protein transport protein SFT2	SFT2 YBL102W YBL0812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215	YBL0812	SFT2	YBL102W	
P16658	SEN2_YEAST	reviewed	tRNA-splicing endonuclease subunit SEN2 (EC 4.6.1.16) (Splicing endonuclease protein 2) (tRNA-intron endonuclease SEN2)	SEN2 YLR105C L8004.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	377	L8004.12	SEN2	YLR105C	
P38164	SEA4_YEAST	reviewed	SEH-associated protein 4	SEA4 YBL104C YBL0808 YBL103C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1038	YBL0808 YBL103C-A	SEA4	YBL104C	
P25294	SIS1_YEAST	reviewed	Protein SIS1	SIS1 YNL007C N2879	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	352	N2879	SIS1	YNL007C	
Q12745	SEC39_YEAST	reviewed	Protein transport protein SEC39 (Dependent on SLY1-20 protein 3)	SEC39 DSL3 YLR440C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	709		SEC39	YLR440C	DSL3
P32844	SEC6_YEAST	reviewed	Exocyst complex component SEC6	SEC6 YIL068C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	805		SEC6	YIL068C	
P38915	SPT8_YEAST	reviewed	Transcription factor SPT8	SPT8 YLR055C L2144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	602	L2144	SPT8	YLR055C	
P39931	SS120_YEAST	reviewed	Protein SSP120	SSP120 YLR250W L9672.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234	L9672.4	SSP120	YLR250W	
P35209	SPT21_YEAST	reviewed	Protein SPT21	SPT21 YMR179W YM8010.09	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	758	YM8010.09	SPT21	YMR179W	
P32558	SPT16_YEAST	reviewed	FACT complex subunit SPT16 (Cell division control protein 68) (Facilitates chromatin transcription complex subunit SPT16) (Suppressor of Ty protein 16)	SPT16 CDC68 SSF1 YGL207W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1035		SPT16	YGL207W	CDC68 SSF1
P38871	SSP1_YEAST	reviewed	Sporulation-specific protein 1	SSP1 YHR184W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	571		SSP1	YHR184W	
Q08553	SYC1_YEAST	reviewed	Protein SYC1	SYC1 YOR179C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	188		SYC1	YOR179C	
P43554	SWP82_YEAST	reviewed	SWI/SNF global transcription activator complex subunit SWP82	SWP82 YFL049W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	623		SWP82	YFL049W	
P42845	STB1_YEAST	reviewed	Protein STB1 (SIN3-binding protein 1)	STB1 YNL309W N0384	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	420	N0384	STB1	YNL309W	
P40328	TBP6_YEAST	reviewed	Probable 26S proteasome subunit YTA6 (Tat-binding homolog 6)	YTA6 YPL074W LPF11C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	754	LPF11C	YTA6	YPL074W	
Q12239	TM115_YEAST	reviewed	Transmembrane protein 115 homolog	YOL107W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	342			YOL107W	
Q06177	TMA10_YEAST	reviewed	Translation machinery-associated protein 10	TMA10 YLR327C L8543.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	86	L8543.1	TMA10	YLR327C	
Q01852	TIM44_YEAST	reviewed	Mitochondrial import inner membrane translocase subunit TIM44 (Inner membrane import site protein 45) (ISP45) (Membrane import machinery protein MIM44) (Mitochondrial protein import protein 1)	TIM44 ISP45 MIM44 MPI1 YIL022W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	431		TIM44	YIL022W	ISP45 MIM44 MPI1
P32897	TIM23_YEAST	reviewed	Mitochondrial import inner membrane translocase subunit TIM23 (Membrane import machinery protein MIM23) (Mitochondrial protein import protein 3) (Mitochondrial protein import protein MAS6)	TIM23 MAS6 MIM23 MPI3 YNR017W N3180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	222	N3180	TIM23	YNR017W	MAS6 MIM23 MPI3
P40552	TIR3_YEAST	reviewed	Cell wall protein TIR3 (TIP1-related protein 3)	TIR3 YIB1 YIL011W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	269		TIR3	YIL011W	YIB1
Q03496	TR732_YEAST	reviewed	tRNA (cytidine(32)-2'-O)-methyltransferase non-catalytic subunit TRM732	TRM732 YMR259C YM8156.01C YM9920.13C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1420	YM8156.01C YM9920.13C	TRM732	YMR259C	
P53283	TPO2_YEAST	reviewed	Polyamine transporter 2	TPO2 YGR138C G6417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	614	G6417	TPO2	YGR138C	
Q03656	SKY1_YEAST	reviewed	Serine/threonine-protein kinase SKY1 (SRPK) (EC 2.7.11.1)	SKY1 YMR216C YM8261.10C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	742	YM8261.10C	SKY1	YMR216C	
P25365	SED4_YEAST	reviewed	Putative guanine nucleotide-exchange factor SED4	SED4 YCR067C YCR67C YCR901	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1065	YCR67C YCR901	SED4	YCR067C	
P89102	SEC5_YEAST	reviewed	Exocyst complex component SEC5	SEC5 YDR166C YD8358.20C YD9489.01C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	971	YD8358.20C YD9489.01C	SEC5	YDR166C	
P32603	SPR1_YEAST	reviewed	Sporulation-specific glucan 1,3-beta-glucosidase (EC 3.2.1.58) (Exo-1,3-beta-glucanase)	SPR1 SSG1 YOR190W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	445		SPR1	YOR190W	SSG1
Q03029	SPO19_YEAST	reviewed	Sporulation-specific protein 19	SPO19 YPL130W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	223		SPO19	YPL130W	
Q04398	SPG3_YEAST	reviewed	Stationary phase protein 3	SPG3 YDR504C D9719.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127	D9719.10	SPG3	YDR504C	
Q07084	SSK1_YEAST	reviewed	Osmolarity two-component system protein SSK1	SSK1 YLR006C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	712		SSK1	YLR006C	
P32916	SRPR_YEAST	reviewed	Signal recognition particle receptor subunit alpha homolog (SR-alpha) (Docking protein alpha) (DP-alpha)	SRP101 YDR292C D9819.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	621	D9819.3	SRP101	YDR292C	
Q3E784	SLO1_YEAST	reviewed	SCOCO-like protein 1	SLO1 YER180C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	85		SLO1	YER180C-A	
Q04658	SMA2_YEAST	reviewed	Spore membrane assembly protein 2	SMA2 YML066C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	369		SMA2	YML066C	
